station	Xlamb	Ylamb	mnt	rugo	pent	ori	rgl	en10	ind_veg	dmer	dFor	dvil	Ttemp
26050001	838100	1928800	557	31	9	354	511	903	211	407	1	23	213
26063002	834200	1923500	365	24	1	209	612	803	168	382	2	3	229
26086003	849300	1970800	575	40	9	336	518	695	223	581	1	43	201
26088001	816900	2008000	160	11	1	22	594	956	155	710	1	12	213
26113003	837600	1979400	420	16	6	131	643	747	212	604	1	13	207
26115001	810200	1973100	175	14	2	353	584	937	82	570	3	92	219
26124001	801900	1983000	138	22	1	272	602	1006	83	611	9	98	223
26165001	797500	1979200	105	7	0	365	603	975	144	595	7	77	217
26168001	867600	1970100	1081	33	5	243	624	776	183	600	2	102	170
26176001	801200	1963500	248	12	3	101	610	1029	151	532	1	53	223
26177001	805100	2015900	230	18	1	163	613	1026	154	741	6	43	210
26188001	827700	1919000	294	31	7	325	544	832	205	360	1	34	222
26191001	797800	1952300	122	11	1	329	595	972	123	489	1	23	226
26198001	790800	1956300	75	8	0	365	603	939	36	500	4	9	228
26202001	819700	1949300	515	26	2	328	586	923	229	475	1	12	211
26211001	801100	1932500	148	10	1	144	612	1018	195	408	3	12	232
26220009	822100	1932300	260	10	1	160	613	845	136	409	4	5	233
26235001	789800	1930700	52	3	0	365	603	997	50	403	10	12	232
26258001	809000	1961400	199	20	4	252	614	925	63	523	2	52	218
26273002	823100	2002600	447	19	9	283	581	986	195	688	2	42	212
26281001	809500	2009000	158	5	0	365	603	997	105	714	6	15	216
26292001	845800	1926000	602	17	1	191	613	817	213	405	1	44	197
26295001	801800	2022100	220	15	2	271	602	993	75	762	3	27	209
26298001	814800	2029200	420	24	3	252	611	1040	163	795	2	48	205
26307001	833000	2005200	319	34	11	316	520	731	200	704	2	64	204
26313001	804500	2001300	190	13	0	365	603	1045	137	682	7	44	215
26330001	803500	2033500	253	13	6	330	547	1016	111	808	1	48	214
26340001	855900	1916200	811	12	1	281	601	857	176	380	2	89	177
26361001	857900	1950200	877	25	8	215	664	867	213	514	1	63	182
26362003	803700	1995500	152	4	0	365	603	1007	60	659	9	63	227
26377003	817500	1930100	296	13	3	107	613	981	183	397	1	25	230
83002001	914900	1871500	947	33	18	318	465	1139	223	226	1	126	216
83009004	878200	1799800	99	31	3	135	625	1040	94	5	1	42	243
83011001	941600	1855800	353	22	3	189	632	803	205	107	1	47	225
83016001	882000	1805600	166	15	2	57	593	946	102	27	5	45	222
83019002	929100	1807600	69	21	1	3	594	880	196	21	1	22	219
83031001	928500	1828600	75	5	0	365	603	969	63	79	2	23	237
83035001	880400	1811600	421	7	1	233	609	1039	176	44	0	53	221
83044001	936600	1865400	852	32	6	42	561	969	190	150	1	76	190
83046001	906800	1846600	367	17	3	125	621	1027	241	191	1	68	215
83049003	905400	1811100	101	10	0	365	603	939	183	63	6	51	232
83050005	931500	1844700	239	26	2	21	585	987	193	110	3	9	232
83061001	956800	1834800	9	4	0	365	603	991	75	3	11	3	225
83069001	910800	1795600	3	5	0	365	603	1007	75	4	8	11	224
83069002	917800	1785300	72	26	1	86	603	1093	202	2	1	8	233
83069003	936600	1788900	78	20	2	173	623	1096	150	1	1	67	231
83069008	915200	1785200	1	9	0	365	603	1026	141	1	0	1	226
83072001	927700	1839700	141	17	3	35	580	971	178	112	0	34	240
83083001	907100	1837200	139	6	0	365	603	924	178	160	2	34	230
83101001	953000	1809700	0	25	4	41	575	1014	102	1	0	41	235
83118002	966200	1834000	0	33	8	134	658	996	119	1	0	26	240
83118006	967900	1843900	308	34	1	205	612	1179	218	18	1	25	243
83137001	893200	1795900	0	12	1	161	613	958	21	1	11	6	243
83138002	954500	1855600	234	16	4	153	638	906	137	80	1	66	232
83145001	893100	1850300	369	26	9	203	679	986	210	204	2	88	237
83153001	894000	1792900	53	28	7	60	569	1047	124	1	6	18	229
84001001	810900	1891100	37	3	0	365	603	1017	209	242	20	29	235
